Feature Category,Feature,Description,Prioritization,V1 (Y/N),Notes,,,  
Account Intelligence & Management,Account-based tracking,"Ability to add individual companies (e.g. linkedin profile and website) to sources (i.e., the company LinkedIn / specific page is a data source)",P0,Y,"Nitin - is this a big lift to allow a user to be able to self-serve very simple sources (i.e., a company's website, LinkedIn company page)? I imagine LinkedIn is easier given it's a standardised structure. This would only be available for the company that input that domain / linkedin profile",,,
"Data, Sources & Compliance",Data Lineage,Show how signal was derived (Source + Why It Matters),P0,Y,Helps customers trust the platform. Essential for “this signal is correct” debates.,,,
"Data, Sources & Compliance",Retention Policy,90 day retention i.e. can create signal campaign and run it to see signals from last 90 days,P0,Y,Matches BirdDog’s refresh model; easy config later.,,,
"Data, Sources & Compliance",Source Transparency,Display original source with URL,P0,Y,Mandatory for trust/legal; BirdDog does this well.,,,
Sources,Pre-configured sources,https://commoncrawl.org/,P0,Y,,,,
Sources,Pre-configured sources,https://www.australiantenders.com.au/,P0,Y,,,,
Sources,Pre-configured sources,https://www.smartcompany.com.au/,P0,Y,,,,
Sources,Pre-configured sources,https://www.planningalerts.org.au/,P0,Y,,,,
Sources,Pre-configured sources,shovels.ai,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Sources,Pre-configured sources,TBC - Sid/Tim to add,P0,Y,,,,
Integrations & Automations,Sheets,"Export signals to CSV and G Sheets, with ability to filter by signal campaign and date",P0,Y,,,,
Integrations & Automations,Slack/Email Alerts,Notifications for when signals are found from campaigns in user's workspace,P0,Y,BirdDog has Slack/Email/Teams; ours simplified initially.,,,
Intelligence & Extraction,AI Summaries,Auto TL;DR + “Why it matters” in each signal,P0,Y,BirdDog offers summaries; ours uses LLM summarization.,,,
SaaS Architecture,Multi-Workspace Support,Each customer's company gets a workspace,P0,Y,"You’re now a SaaS platform, not an internal tool — multi-tenancy is required.",,,
SaaS Architecture,Role-Based Access,Admin and manager access,P0,Y,Full RBAC required for enterprise sales.,,,
Signals Engine,Signal Scoring,Composite score = confidence + recency + fit based on signal campaign and user's context,P0,Y,Core for prioritization; basis for account ranking.,,,
Signals Engine,SIgnal Personalisation,"Take company context (e.g., their website) into account for each signal ""Why it matters""",P0,Y,"Products / services, target customers, Company About",,,
Signals Engine,Signal Campaign - Date,Ability to set start and end date for signal campaign upon creation,P0,Y,,,,
Signals Engine,Signal Creation,"Users define and edit “signals” (e.g., Does [account] …?) or choose from library. 
Add suggest button with 3-5 options that have richer / more specific prompts and they can select, we work off their selections",P0,Y,BirdDog’s core workflow. We support both custom queries and a built-in library.,,,
Signals Engine,Signal Classification,"AI auto-detects and labels signal type (funding, hiring, leadership, etc.)",P0,Y,Adds structure BirdDog lacks — improves automation and filtering.,,,
Signals Engine,Signal Post-Processing,Auto-clean & normalize signals when presenting to user,P0,Y,Ingest quality must be stable for customers; post-processing reduces false positives & noise.,,,
Signals Engine,Signal Tagging,"Ability to mark-up, add tags and comments onto signals.",P0,Y,,,,
Signals Engine,Signal Bookmarking,"Ability to bookmark signals and group/categorise.
Add option in Bookmark to ""Flag"" Signal i.e. let us know that it's a poor signal",P0,Y,,,,
Team Management & Collaboration,Activity Tracking,Simple logs of user activity (admin portal),P0,Y,Provides accountability; low complexity.,,,
Team Management & Collaboration,User Roles,"Basic roles (Admin, Manager)",P0,Y,BirdDog’s Team Page; MVP supports shared workspace.,,,
Team Management & Collaboration,Onboarding & Account Setup,"Account creation & login, Workspace setup",P0,Y,,,,
UX & Productivity,Signal Feed,"Main working dashboard (signals, filters, actions)",P0,Y,BirdDog “Home + Signals Page” merged; central interface.,,,
UX & Productivity,Mobile / Responsive,Desktop-first design,P0,Y,Same as BirdDog; mobile deferred.,,,